=== GERIATRIC WITHIN-SUBJECTS USABILITY STUDY DATASET (N=16 Older Adults, Ages 61-76) ===
Participant_ID,Age,Gender,Prescription_Glasses,Mild_Hand_Tremor,Counterbalance_Sequence,Grid_Task1_Time_sec,Grid_Task2_Time_sec,Grid_Task3_Time_sec,Grid_Total_Time_sec,Grid_Errors,Grid_SEQ_Score,Grid_SUS_Score,Radial_Task1_Time_sec,Radial_Task2_Time_sec,Radial_Task3_Time_sec,Radial_Total_Time_sec,Radial_Errors,Radial_SEQ_Score,Radial_SUS_Score
P01,68,Female,Yes,No,Grid-First (AB),6.6,7.1,10.2,23.9,1,6,75.8,15.6,16.8,19.5,51.9,4,5,54.9
P02,72,Male,Yes,Yes,Radial-First (BA),4.4,5.7,8.2,18.3,0,5,91.7,9.2,18.0,20.6,47.8,2,3,59.4
P03,64,Female,No,No,Grid-First (AB),5.3,10.7,15.4,31.4,1,5,89.2,11.4,10.6,13.2,35.2,3,4,35.4
P04,75,Male,Yes,Yes,Radial-First (BA),7.4,5.9,8.4,21.7,2,7,85.5,10.6,13.7,15.6,39.9,2,4,68.4
P05,61,Female,No,No,Grid-First (AB),6.8,6.5,9.4,22.7,1,7,97.5,5.9,8.4,9.5,23.8,0,6,46.9
P06,70,Male,Yes,No,Radial-First (BA),2.1,9.2,13.2,24.5,0,6,90.1,9.0,11.5,13.9,34.4,1,5,68.4
P07,76,Female,Yes,Yes,Grid-First (AB),5.3,4.7,6.7,16.7,1,7,89.0,12.7,7.0,7.4,27.1,3,5,58.1
P08,66,Male,Yes,No,Radial-First (BA),3.5,5.3,7.6,16.4,0,5,74.9,7.0,9.2,10.1,26.3,1,5,41.2
P09,63,Female,No,No,Grid-First (AB),3.5,6.7,9.6,19.8,0,6,68.5,14.4,15.8,18.2,48.4,4,4,45.3
P10,71,Male,Yes,No,Radial-First (BA),4.4,5.7,8.2,18.3,0,7,81.7,6.1,13.8,15.7,35.6,0,3,42.1
P11,67,Female,Yes,No,Grid-First (AB),3.9,4.2,6.0,14.1,0,6,74.0,9.4,9.9,10.6,29.9,2,4,60.6
P12,74,Male,Yes,Yes,Radial-First (BA),6.1,6.0,8.6,20.7,1,6,70.1,11.0,10.1,11.4,32.5,2,4,74.8
P13,62,Female,No,No,Grid-First (AB),5.0,5.7,8.2,18.9,0,7,103.8,14.0,11.2,12.6,37.8,4,2,77.5
P14,69,Male,Yes,No,Radial-First (BA),3.9,7.4,10.6,21.9,0,7,78.3,12.8,12.5,14.6,39.9,3,5,56.7
P15,65,Female,Yes,No,Grid-First (AB),4.4,3.4,4.8,12.6,0,7,84.5,10.1,11.8,12.6,34.5,2,4,54.4
P16,73,Female,Yes,No,Radial-First (BA),4.3,5.1,7.3,16.7,0,6,80.5,10.5,8.3,8.9,27.7,2,4,70.9

=== OEM ALARM DELIVERY LATENCY BENCHMARK DATASET (100 Test Alarms) ===
Test_ID,Device_Model,Android_Version,Battery_Saver_Mode,Scheduled_Time,Actual_Trigger_Time,Latency_Seconds,Delivery_Status
T001,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T002,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T003,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:02,2.0,ON_TIME (<=5s)
T004,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T005,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T006,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:02,2.0,ON_TIME (<=5s)
T007,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T008,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T009,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:02,2.0,ON_TIME (<=5s)
T010,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T011,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T012,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:02,2.0,ON_TIME (<=5s)
T013,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T014,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T015,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:02,2.0,ON_TIME (<=5s)
T016,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T017,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T018,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:02,2.0,ON_TIME (<=5s)
T019,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.2,ON_TIME (<=5s)
T020,Google Pixel 7,Android 14,ENABLED,14:00:00,14:00:01,1.6,ON_TIME (<=5s)
T021,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T022,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
T023,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.6,ON_TIME (<=5s)
T024,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T025,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
T026,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.6,ON_TIME (<=5s)
T027,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:01,1.8,ON_TIME (<=5s)
T028,Samsung Galaxy S22,Android 13,ENABLED,14:00:00,14:00:02,2.2,ON_TIME (<=5s)
